area,apartment,type,squares,price,squareprice,year,floor,elevator,condition,energy
Alppiharju,3h+k+kph+las.pa...,kt,74.00,339000,4581,1970,5/6,on,tyyd.,
Hietalahti,3h+avok.+kph+s+...,kt,74.70,456000,6104,1902,-1/5,ei,hyvä,
Eiranranta,"3h, avok, kph, ...",kt,97.50,949000,9733,2007,4/8,on,hyvä,E2014
Oulunkylä,"3h, k, kph/wc, ...",kt,68.00,219000,3221,1967,2/3,ei,tyyd.,
Malminkartano,3h+k+kph-s+eril...,kt,75.50,210000,2781,1984,2/3,ei,hyvä,
Kruununhaka,"2-3h, k, kph, p...",kt,91.00,685000,7527,1912,4/5,on,hyvä,F2017
Reimarla,"3h, k, sauna, k...",kt,72.50,182000,2510,1980,2/6,on,tyyd.,
Koskela,"3h, k, kph, vh,...",kt,74.10,180500,2436,1973,5/6,on,tyyd.,G
Punavuori,"3h,k",kt,104.00,821600,7900,1904,2/5,ei,tyyd.,
Oulunkylä,"3 h, kt, kh, p",kt,63.50,330000,5197,2015,3/4,on,hyvä,A2007
Konala,3h+k+kph-wc+las...,kt,68.50,166000,2423,1968,3/3,ei,hyvä,
Vuosaari,"3h, k, kph, par...",kt,70.00,195000,2786,1967,2/3,ei,hyvä,
Vuosaari,"3h, k, s, eril....",kt,77.00,205000,2662,1991,2/3,on,hyvä,D
Meilahti,"3h, avok, kph, ...",kt,57.50,336000,5843,1941,2/4,ei,tyyd.,E2007
Tapanila,3h+k+kph+s+WC+2...,kt,82.00,270000,3293,2006,2/4,on,hyvä,D
Mellunmäki,"3h, keittiö...",kt,75.50,165000,2185,1973,2/5,on,hyvä,F2007
Punavuori,"3h, kk, s",kt,76.00,549000,7224,2002,6/8,on,hyvä,C2007
Itä-pasila,"3-4-h,k,parveke",kt,83.50,275600,3301,1974,6/8,on,tyyd.,G
Puotinharju,"3h, k, kh, p",kt,60.00,121000,2017,1966,1/3,ei,tyyd.,G2012
Puotila,"3h, k, kph, p",kt,73.00,175000,2397,1974,2/3,ei,tyyd.,F2007
Yliskylä,3h+k,kt,63.00,189000,3000,1965,2/4,on,huono,F2007
Munkkiniemi,"3-2h,k,kph,lasi...",kt,72.00,468000,6500,1962,3/4,ei,hyvä,
Vuosaari,3h+k+kph+parv,kt,66.00,173000,2621,1965,1/5,ei,tyyd.,E2007
Roihuvuori,"3h, kt",kt,67.50,274900,4073,2017,3/6,on,hyvä,
Aurinkolahti,"3h,kt,s",kt,71.00,397170,5594,2017,7/7,ei,hyvä,C
Kivihaka,"2 mh, oh, k, kp...",kt,65.60,259500,3956,1961,3/4,on,tyyd.,E
Roihuvuori,"3h, kt, s",kt,69.50,281900,4056,2017,3/6,on,hyvä,
Roihuvuori,"3h,kk,rt",kt,72.50,220630,3043,1956,2/4,ei,tyyd.,
Kannelmäki,"3h, avok, kph, ...",kt,74.50,172000,2309,1978,4/4,on,tyyd.,
Viikki,"3h, k, erill.wc...",kt,79.00,285000,3608,2011,2/4,on,hyvä,
Roihuvuori,"3h, kk",kt,69.50,271900,3912,2017,1/5,on,hyvä,
Roihuvuori,"3h, kt, s",kt,69.50,285900,4114,2017,4/6,on,hyvä,
Pohjois-haaga,"3h, k, vh, lasi...",kt,62.00,269000,4339,1957,1/3,ei,tyyd.,G
Roihuvuori,"3h, kt",kt,67.50,284900,4221,2017,5/6,on,hyvä,
Kallio,"3h,avok, kph,vh",kt,67.50,410000,6074,1929,7/7,on,hyvä,E
Vuosaari,"3h, wc, kh, iso...",kt,68.70,182500,2656,1964,1/5,ei,hyvä,
Malminkartano,"3h,k,s",kt,72.00,168000,2333,1987,3/3,ei,tyyd.,F
Etu-töölö,"3 h, k, kph, vh...",kt,102.20,740000,7241,1912,3/5,on,hyvä,F2007
Lauttasaari,"3h, halli, k ja...",kt,72.00,325000,4514,1940,3/5,on,tyyd.,G
Viikki,"3 h, avokeittiö...",kt,75.00,302000,4027,2004,3/6,on,hyvä,C
Kontula,"3h,k,kph,wc,p",kt,78.00,185000,2372,1965,8/8,on,hyvä,F2007
Pitäjänmäki,"3h, k, s, kph-w...",kt,79.50,193000,2428,1973,3/6,on,hyvä,
Lauttasaari,"3 h, k, s, p",kt,81.50,544500,6681,2012,4/6,on,hyvä,B2007
Munkkiniemi,"3h, k, parveke",kt,82.50,330016,4000,1938,6/6,on,hyvä,D2007
Vuosaari,3h+k+eteinen+te...,kt,75.00,162000,2160,1971,3/6,on,tyyd.,F2007
Etu-töölö,"3h, k, s, parveke",kt,93.50,693000,7412,2016,4/8,on,hyvä,C
Malmi,"3h, k, s",kt,64.50,195000,3023,1987,3/3,ei,hyvä,
Vuosaari,"3h, k, kph, p, ...",kt,70.00,176000,2514,1968,5/5,on,tyyd.,E
Munkkivuori,"3-4 h, k, kph, ...",kt,71.00,350000,4930,1959,5/6,on,hyvä,E2007
Kallio,3h+k+kph,kt,78.00,260000,3333,1963,2/7,on,tyyd.,
Kallio,3h+avok.+kh,kt,50.00,348000,6960,1939,2/6,on,hyvä,E2007
Tapanila,"3h, k, s, p ja ...",kt,74.50,215000,2886,1988,2/3,ei,hyvä,E
Lauttasaari,"3 h, k, p",kt,77.00,433500,5630,1973,6/6,on,hyvä,E
Lauttasaari,"3h, k, kph, wc,...",kt,86.50,382000,4416,1969,4/4,on,tyyd.,G
Kontula,3 h+k+kph+vh+pa...,kt,65.00,120000,1846,1969,4/9,on,tyyd.,G
Oulunkylä,"3h, iso keittiö...",kt,72.00,213000,2958,1977,3/3,ei,tyyd.,F
Siltamäki,"2 mh, oh, k, kp...",kt,80.50,149000,1851,1969,1/3,ei,tyyd.,F
Kruununhaka,"3h, k, halli, k...",kt,82.00,572000,6976,1926,1/4,ei,hyvä,C2007
Lauttasaari,"3 h, avok, kph,...",kt,73.00,486000,6658,2008,5/7,on,hyvä,F
Eiranranta,"3h, avok, 2 kph...",kt,127.50,1255000,9843,2008,1/7,on,hyvä,
Mellunmäki,3h+k+kph+s+eril...,kt,67.00,145000,2164,1970,1/5,on,hyvä,E2007
Punavuori,"3h, avok, 2xkph...",kt,114.00,619000,5430,1912,-1/2,on,hyvä,E2007
Aurinkolahti,"3h, avok, s, la...",kt,61.00,350000,5738,2012,2/5,on,hyvä,B
Sörnäinen,3h+k+kph+las.pa...,kt,68.50,267000,3898,1965,4/7,on,hyvä,D
Eira,"3h, k, kph, vh",kt,74.80,730000,9759,1910,4/4,ei,hyvä,
Taka-töölö,"2-3 h,keitti...",kt,76.00,380000,5000,1913,2/5,ei,hyvä,
Jätkäsaari,3(4)h+kt+Sauna+...,kt,108.00,986000,9130,2016,3/7,on,hyvä,C
Ullanlinna,"3 h, k, kh, eri...",kt,82.00,610000,7439,1927,2/4,on,hyvä,F2007
Aurinkolahti,"3-4h, k, s, ter...",kt,89.00,449330,5049,2016,5/5,on,hyvä,
Oulunkylä,"3h, avok., vh, ...",kt,61.00,264000,4328,1956,1/4,ei,hyvä,F
Etelä-haaga,"3h,k,p",kt,65.00,318000,4892,1961,2/4,ei,tyyd.,D2007
Kannelmäki,"3h, k, kph, p",kt,66.00,166000,2515,1962,2/3,ei,tyyd.,F
Kannelmäki,"3h, k, vh, kph ...",kt,66.00,179000,2712,1978,1/4,on,hyvä,D2007
Konala,"3h, k, kph, vh,...",kt,68.00,190000,2794,1985,2/2,ei,tyyd.,
Vuosaari,3h+k+parveke,kt,68.70,190000,2766,1964,2/5,on,hyvä,
Myllypuro,"3h, k",kt,70.00,187000,2671,1964,7/7,on,hyvä,
Lauttasaari,"3h, avok, kph, ...",kt,71.50,300000,4196,1977,2/7,on,hyvä,E
Malmi,"3 h, k, kh, vh, p",kt,72.00,180000,2500,1984,2/3,ei,tyyd.,F
Lauttasaari,"3h, k, län...",kt,72.00,245000,3403,1963,2/4,ei,hyvä,
Lauttasaari,"3h, k, län...",kt,72.00,255000,3542,1963,2/4,ei,tyyd.,
Munkkivuori,"3h, k, rt, kph, p",kt,74.00,333000,4500,1956,2/4,ei,tyyd.,
Vuosaari,"3h, k, rt, kph,...",kt,74.50,189000,2537,1991,1/3,ei,hyvä,F
Myllypuro,"3h, k, kph, eri...",kt,75.00,187400,2499,1987,2/2,ei,tyyd.,F
Lauttasaari,"3h, k, s, kph, ...",kt,80.00,515000,6438,2008,5/7,on,hyvä,F
Käpylä,"3-4 h, k, halli...",kt,84.00,325000,3869,1928,4/4,ei,tyyd.,E2007
Etu-töölö,"3h, k, kph, wc",kt,98.00,668000,6816,1923,4/6,on,hyvä,D2007
Lauttasaari,3h+kt+s,kt,105.50,701000,6645,2016,5/6,on,hyvä,C
Oulunkylä,"3 h, avok, kh, ...",kt,53.50,249000,4654,1956,2/4,ei,hyvä,F
Käpylä,3h+kk+kph+parveke,kt,57.00,270000,4737,1946,1/3,ei,hyvä,
Honkasuo,"3h, kt, s, kph,...",kt,69.50,250590,3606,2018,-1/2,ei,hyvä,C
Honkasuo,"3h, kt, s, kph,...",kt,69.50,250590,3606,2018,-1/2,ei,hyvä,C
Honkasuo,"3h, kt, s, kph,...",kt,69.50,250590,3606,2018,-1/2,ei,hyvä,C
Malmi,"3h, k, kph, piha",kt,74.00,168000,2270,1980,1/4,ei,tyyd.,D2007
Ullanlinna,"3h, k, kph, wc, p",kt,75.50,521850,6912,1973,6/6,on,tyyd.,F
Munkkiniemi,"3h, k, parveke,...",kt,123.00,598000,4862,1957,2/2,ei,hyvä,
Pohjois-haaga,"3h, k, kph, vh,...",kt,62.00,265000,4274,1957,3/3,ei,hyvä,G
Pajamäki,"3h, k, kph, par...",kt,63.00,232000,3683,1958,1/3,ei,tyyd.,E2007
Laakso,"3 h, k, kp, par...",kt,65.00,345000,5308,1938,3/6,on,tyyd.,F
Roihuvuori,"3h, kt, s",kt,69.50,296900,4272,2017,6/6,on,hyvä,
Meilahti,"3h, k, lasit.p",kt,71.50,410000,5734,1965,1/4,on,hyvä,
Kruununhaka,"3h, k, kph/wc, vh",kt,78.50,508300,6475,1906,3/4,ei,hyvä,F
Pikku huopalahti,"3h,k,s,kph, wc,...",kt,79.50,388000,4881,1995,3/3,ei,hyvä,
Vallila,"3h,k,s,kh,lasit...",kt,82.00,419400,5115,2013,4/5,on,hyvä,F
Kaartinkaupunki,3h+palv.h+kk+kp...,kt,86.00,580000,6744,1936,4/6,on,huono,
Munkkiniemi,"3h, kk, kph, ra...",kt,57.50,325000,5652,1957,2/6,on,hyvä,G
Roihuvuori,"3h, k, kph, vh,...",kt,68.00,168000,2471,1965,8/8,on,tyyd.,E
Vuosaari,"3h, k",kt,70.00,200000,2857,1966,2/3,ei,hyvä,E2007
Kivihaka,3h+k+vh+sauna+k...,kt,72.00,279000,3875,1978,2/3,ei,hyvä,F
Ullanlinna,"2-3h, avok, kph...",kt,77.50,745000,9613,1928,3/3,on,hyvä,
Ullanlinna,"3h, avok, kph, s",kt,78.00,595000,7628,2006,4/5,on,hyvä,
Taka-töölö,"2h, k, 2 alkovi...",kt,85.00,445000,5235,1927,1/6,on,tyyd.,
Honkasuo,"3h, kt, s, kph,...",kt,69.50,250590,3606,2018,-1/2,ei,hyvä,C
Merihaka,3h+k+parv. (Yj....,kt,52.50,270000,5143,1975,7/14,on,tyyd.,
Töölö,3h+kk+kh+wc,kt,64.50,440000,6822,1913,5/6,on,tyyd.,
Itäkeskus,"3h, k, kph, p",kt,65.50,189736,2897,1979,4/4,on,tyyd.,E2007
Roihuvuori,"3h, kt, s",kt,69.50,291900,4200,2017,5/6,on,hyvä,
Puotila,"3h, k, kph, las...",kt,71.00,208000,2930,1965,2/2,ei,tyyd.,
Taka töölö,2-3 h +k (yhtiö...,kt,73.00,486000,6658,1935,3/7,ei,hyvä,
Kontula,3h+k+kh+wc+p,kt,78.00,176000,2256,1964,4/7,on,hyvä,
Vuosaari,"3h, k, kph, s, ...",kt,78.00,200000,2564,1995,4/5,on,hyvä,F
Viikki,"3h, k, kph/s",kt,65.00,265000,4077,2015,3/4,on,hyvä,C
Etelä-haaga,"3h, k, parveke",kt,69.00,275000,3986,1963,2/3,ei,tyyd.,
Munkkiniemi,"3h, k, kph, vh,...",kt,77.50,380000,4903,1951,4/6,on,tyyd.,G
Tapanila,"3h, k, kph, vh,...",kt,64.00,165000,2578,1966,2/3,ei,hyvä,E
Harju,"3h, avok, kph",kt,67.00,226000,3373,1926,1/5,on,hyvä,
Kontula,"3h, k, kph, vh,...",kt,72.00,129000,1792,1967,6/8,on,tyyd.,G
Kontula,"3h, k",kt,73.00,120206,1647,1967,5/7,on,tyyd.,E
Kurkimäki,"3h, k, kph, las...",kt,74.50,182000,2443,1988,3/3,ei,hyvä,
Etu-töölö,3h+k,kt,84.00,500500,5958,1935,4/6,on,tyyd.,E
Oulunkylä,"3h, k",kt,61.00,260000,4262,1956,1/4,ei,hyvä,F
Vuosaari,"3h, k, kh, eril...",kt,75.00,175000,2333,1971,1/6,on,hyvä,F2007
Puotinharju,"2-3 h, keittiö...",kt,61.50,210000,3415,1964,1/3,ei,hyvä,F
Etelä-haaga,"3h, avok., kph,...",kt,64.00,317000,4953,1958,1/3,ei,hyvä,F
Vallila,3h+k+s+lasitett...,kt,83.50,413400,4951,2013,2/5,on,hyvä,F
Pihlajamäki,"3h, k ja lasite...",kt,67.50,176000,2607,1963,3/4,ei,hyvä,E2007
Viikki,"3h, k, s",kt,77.00,310000,4026,2004,2/6,on,hyvä,F
Ullanlinna,3H+K+parveke,kt,65.50,455000,6947,1956,3/5,ei,hyvä,
Myllypuro,"3 h, k, kh, p",kt,67.00,149000,2224,1970,4/4,on,tyyd.,F
Mellunmäki,"3h, k",kt,73.00,149000,2041,1974,1/3,ei,tyyd.,D
Konala,"3h, k, s",kt,74.50,245000,3289,2012,2/4,on,hyvä,D
Etelä-haaga,"3h,k,kph,s,wc,p...",kt,86.00,461500,5366,2000,3/4,on,tyyd.,D
Kontula,"3h, k, kph, par...",kt,65.00,120000,1846,1969,6/9,on,tyyd.,G
Aurinkolahti,"3h,k,kph,wc,s,p,vh",kt,80.50,340000,4224,2008,3/6,on,hyvä,C
Kurkimäki,3-4h+k+kph+wc+piha,kt,88.00,202500,2301,1988,1/3,ei,hyvä,E
Malminkartano,3h+avokeitti...,kt,79.00,223000,2823,1987,2/3,ei,hyvä,
Katajanokka,"3h, k, kph, eri...",kt,79.00,360000,4557,1982,1/5,on,tyyd.,D2007
Vallila,"3-4h, kt, s, vh...",kt,80.00,509000,6363,2011,3/6,on,hyvä,C
Veräjämäki,"3h, k, kph, vh,...",kt,71.00,239000,3366,1964,3/3,ei,tyyd.,E2007
Arabianranta,3h+k+rt+s+erill...,kt,73.50,410000,5578,2003,3/7,on,hyvä,D2007
Vuosaari,"3h, k",kt,74.50,165000,2215,1991,3/3,ei,tyyd.,F
Aurinkolahti,"3h, k, kph, s, ...",kt,79.00,290000,3671,2000,1/7,ei,hyvä,
Taka-töölö,"3h, k, kph",kt,60.00,428000,7133,1934,2/6,on,hyvä,D2007
Etu-töölö,"3h, avok, kph, ...",kt,71.00,560000,7887,2011,5/7,on,hyvä,D
Myllypuro,"3h, k",kt,74.50,172500,2315,1964,2/8,on,tyyd.,E2007
Lauttasaari,"3h, kk, kph, 2 ...",kt,78.00,365000,4679,1963,1/3,ei,tyyd.,
Kruununhaka,"3h, k, ph, etei...",kt,89.60,620000,6920,1904,1/5,ei,hyvä,D
Roihuvuori,"3h, k, kph",kt,69.00,220000,3188,1959,2/4,ei,hyvä,F
Oulunkylä,"3h, k, s",kt,69.50,240000,3453,1981,2/2,ei,tyyd.,E
Kulosaari,"3h, k, kph, vh,...",kt,77.50,364400,4702,1960,2/4,on,hyvä,E
Pajamäki,3h+kk+p,kt,57.00,222000,3895,1958,4/4,on,tyyd.,
Etelä-haaga,"3h, k, kph, par...",kt,67.00,275000,4104,1959,2/4,ei,hyvä,
Laajasalo,"3h, k, rt, kph,...",kt,116.00,475000,4095,1972,4/5,on,hyvä,F2007
Käpylä,"3h, k, kph, par...",kt,66.00,279100,4229,1952,1/4,ei,tyyd.,F2007
Kannelmäki,3h+k+s,kt,74.00,195000,2635,1991,2/3,ei,tyyd.,F
Itä-pasila,"3h, k, lasitett...",kt,73.00,249000,3411,1977,3/7,on,tyyd.,E
Herttoniemenranta,"3h, avok, kph, ...",kt,78.00,392000,5026,2001,2/5,on,hyvä,D
Kannelmäki,"3h,kk",kt,59.80,216000,3612,1959,3/3,ei,hyvä,
Taka-töölö,"3h, avokeittiö...",kt,62.00,403000,6500,1939,6/6,on,hyvä,
Kannelmäki,"3h,k,kph,las.p",kt,71.50,198000,2769,1973,4/4,on,hyvä,
Itä-pasila,"3h, k, kph, eri...",kt,72.50,245000,3379,1977,4/8,on,tyyd.,
Aurinkolahti,"3h, k, saunaos,...",kt,73.50,310000,4218,2009,2/6,on,hyvä,D
Heikinlaakso,3h+k+kph+las.pa...,kt,74.50,195000,2617,1980,1/2,ei,hyvä,D2007
Näkinpuisto,"3h,k,s",kt,76.50,372600,4871,1985,2/8,on,tyyd.,E
Etu-töölö,"3h, k, 2 x kph",kt,87.50,595000,6800,1914,2/5,ei,hyvä,G
Munkkisaari,"3h, avok, kph, ...",kt,88.50,690000,7797,2012,1/8,on,hyvä,B2007
Harju,"2-4h, k, kph, e...",kt,100.00,500000,5000,1911,5/5,ei,hyvä,
Oulunkylä,"3h, k, parveke",kt,54.50,261000,4789,1965,2/3,ei,hyvä,D
Etelä-haaga,"3 h, k, lasitet...",kt,59.50,275000,4622,1960,2/4,on,tyyd.,F
Maunula,"3h,k,kph,vh,las...",kt,63.50,198000,3118,1959,1/4,on,tyyd.,F
Munkkivuori,"3h, k, kph, las...",kt,65.00,310000,4769,1958,3/6,on,hyvä,E
Pohjois-haaga,"3h, k, kph, vh,...",kt,66.00,251000,3803,1956,10/10,on,hyvä,F2007
Kamppi,"3h, kt, s",kt,73.00,555000,7603,2016,2/7,on,hyvä,
Taka töölö,2-3 h +k (yhtiö...,kt,74.00,490000,6622,1935,4/7,ei,hyvä,
Viikki,"3h, k, s/kph, l...",kt,75.50,295000,3907,2004,4/6,on,hyvä,
Ruskeasuo,"3h, k, kph + s,...",kt,86.50,542000,6266,2007,4/4,on,hyvä,E
Kruununhaka,3h+kk+halli+wc,kt,102.00,572500,5613,1912,5/5,on,huono,F
Etelä-haaga,"3h, k, kph, vh,...",kt,56.00,255500,4563,1957,2/3,ei,tyyd.,E2007
Munkkivuori,"3 h, k, kh, par...",kt,62.50,280000,4480,1957,3/5,ei,hyvä,G
Arabianranta,"3 h, k, kph, s,...",kt,67.50,385000,5704,2001,1/6,ei,hyvä,
Etelä-haaga,"3 h, k, kph, vh...",kt,68.00,250000,3676,1962,4/4,ei,hyvä,F2007
Kontula,"3h, k",kt,72.50,160000,2207,1966,2/7,on,tyyd.,E2007
Herttoniemenranta,"3h, avok, s, 2x...",kt,72.50,371500,5124,2007,1/7,on,hyvä,E
Taka-töölö,"3h, k, s, erill...",kt,94.50,520000,5503,1982,4/6,on,tyyd.,
Vanhakaupunki,"3h, k, kph, p",kt,57.00,262000,4596,1949,4/4,ei,tyyd.,
Jakomäki,"3h, k, s, parveke",kt,70.00,148000,2114,1988,3/3,ei,tyyd.,E
Kruununhaka,"3h, kk, erill.w...",kt,76.00,375000,4934,1906,2/4,ei,tyyd.,
Etelä-haaga,3 h+k+p,kt,60.00,293000,4883,1963,4/4,on,tyyd.,E2007
Myllypuro,"3 h, k, kph, wc...",kt,78.00,158000,2026,1965,1/4,ei,hyvä,D2007
Viikki,"3h, k, s",kt,82.50,265000,3212,2006,6/8,on,hyvä,
Malmi,3h+k+s+ terassi...,kt,85.00,185000,2176,1983,1/4,ei,tyyd.,E
Roihuvuori,"3h, kk, s",kt,73.50,298900,4067,2017,2/5,on,hyvä,
Lassila,"3h,k,kph,wc,s,l...",kt,74.50,265000,3557,1981,2/3,ei,hyvä,
Etelä-haaga,"3h, k, kh, las....",kt,68.00,340000,5000,1964,3/4,on,hyvä,G
Etu-töölö,"3h, kk, kph",kt,89.00,575000,6461,1927,5/6,on,hyvä,
Hermanni,3h+k+kph+parveke,kt,69.70,293000,4204,1957,6/6,on,hyvä,
Taka-töölö,3 H + K+ KPH+ E...,kt,74.00,375000,5068,1955,1/7,ei,hyvä,
Patola,"3h, k, kph, wc,...",kt,76.50,150000,1961,1972,3/3,ei,tyyd.,
Punavuori,"3 h, k, kph, s",kt,108.00,643000,5954,1891,1/4,ei,tyyd.,D2007
Vuosaari,"3h, avokeittiö...",kt,65.50,260000,3969,2012,3/6,on,hyvä,B
Lauttasaari,"3h, k,kph,vh,pa...",kt,69.00,380000,5507,1958,4/5,on,hyvä,
Kontula,"3h,k,vh,kph,wc,p",kt,75.00,125000,1667,1967,7/8,on,hyvä,
Munkkiniemi,"3h, k",kt,92.00,525000,5707,1950,3/6,on,hyvä,
Munkkiniemi,"3h, keittiö...",kt,114.00,440000,3860,1956,1/4,on,hyvä,
Kontula,"3h, k",kt,59.50,118000,1983,1966,1/8,on,tyyd.,G
Koskela,"3h, avok, kph, p",kt,65.00,274000,4215,1941,2/2,ei,hyvä,
Myllypuro,3h+k,kt,78.00,139000,1782,1965,2/4,ei,tyyd.,F
Patola,"3h, k, rt, eril...",kt,80.50,195000,2422,1972,3/3,ei,tyyd.,E2007
Pitäjänmäki,"3 h, k, kph, er...",kt,80.50,215000,2671,1965,2/2,ei,tyyd.,E
Herttoniemenranta,"3h, k, s, vh, k...",kt,82.00,435500,5311,2001,4/5,on,hyvä,E2007
Kamppi,"3h, k, aputilat.",kt,164.50,835000,5076,1925,3/7,on,tyyd.,C
Etelä-haaga,"3h, k, kph, las...",kt,65.00,305000,4692,1964,1/4,ei,hyvä,E2007
Maunula,"2 mh, oh, k, kp...",kt,69.00,173000,2507,1963,2/4,ei,tyyd.,F
Jätkäsaari,3-4h+kt+s+parveke,kt,108.50,921100,8489,2015,4/7,on,hyvä,B2007
Etelä-haaga,"3h, avok., kph,...",kt,63.00,305000,4841,1959,3/3,ei,hyvä,E2007
Ylä-malmi,"3h, k",kt,69.00,199415,2890,1967,1/3,ei,hyvä,
Vuosaari,3h+k+terassipar...,kt,75.00,190000,2533,1971,3/6,on,hyvä,
Laajasalo,"3h, keittiö...",kt,63.50,207000,3260,1966,1/5,on,hyvä,E
Puotila,"3h, k, parveke",kt,55.50,190000,3423,1961,3/3,ei,hyvä,D
Puotila,3h+k,kt,66.00,202832,3073,1961,3/3,ei,tyyd.,D
Pitäjänmäki,"3h, avok., kph,...",kt,68.50,305000,4453,2001,7/8,on,tyyd.,E
Pohjois-haaga,"3 h, k, kph, p",kt,70.00,285000,4071,1956,8/10,on,hyvä,F2007
Kulosaari,"3h, k, kph, par...",kt,70.50,340000,4823,1961,1/5,on,hyvä,E2007
Malminkartano,3h + k + s + p,kt,71.50,180000,2517,1986,1/3,ei,tyyd.,F
Vuosaari,"3h, k, kph, las.p",kt,74.00,245000,3311,1967,2/7,on,hyvä,E
Kamppi,"2-3h, avok, kph...",kt,86.00,530000,6163,1908,2/4,on,hyvä,D
Lauttasaari,"3h, k, kph, las...",kt,95.50,455000,4764,1974,7/7,on,hyvä,D
Etu-töölö,"3 h, halli, k, ...",kt,103.50,575000,5556,1925,1/8,on,tyyd.,G
Oulunkylä,"3h, kk, kh, vh, p",kt,53.50,233000,4355,1956,3/4,ei,tyyd.,F
Pohjois-haaga,"3h, k, kph, vh ...",kt,67.00,210000,3134,1960,3/4,on,tyyd.,F2007
Kurkimäki,"3h, k",kt,74.50,175000,2349,1988,1/3,ei,tyyd.,E
Taka-töölö,"3h, k",kt,75.00,390000,5200,1938,6/6,on,hyvä,E
Etu-töölö,2-3 h + avok. (...,kt,76.40,508000,6649,1920,2/6,on,tyyd.,
Aurinkolahti,"3-4 h, k, kph, ...",kt,77.00,300000,3896,2001,1/6,on,hyvä,E
Tali,"3h, avok., s/kp...",kt,93.50,470000,5027,2013,4/7,on,hyvä,
